id;job_title;min_salary;max_salary
1;Arquitecto de Comunicaciones Regional;30573;5295
2;Asistente de Usabilidad Distrito;12101;26542
3;Consultor de Implementación Director;18155;271
4;Diseñador de Implementación Distrito;8965;12605
5;Oficial de Comunicaciones Distrito;11289;18099
6;Arquitecto de Creativo Central;25145;31037
7;Especialista de Paradigma Regional;6070;21852
8;Asociado de Infraestructura Regional;31818;20433
9;Estratega de Implementación Inversor;8353;8937
10;Relacciones de Soluciones Dinánmico;21194;26023
