id;start_date;end_date;language
1;2024-02-28T02:02:27;2024-02-28T05:41:54;ENGLISH
2;2024-02-28T11:11:44;2024-02-27T19:54:04;ENGLISH
3;2024-02-28T08:26:00;2024-02-28T01:16:25;FRENCH
4;2024-02-28T01:31:31;2024-02-28T00:39:04;FRENCH
5;2024-02-28T01:59:30;2024-02-28T12:42:25;FRENCH
6;2024-02-27T22:38:02;2024-02-28T05:52:21;ENGLISH
7;2024-02-28T07:48:58;2024-02-27T15:58:10;SPANISH
8;2024-02-28T12:12:35;2024-02-28T04:56:06;FRENCH
9;2024-02-27T23:32:32;2024-02-27T18:42:50;SPANISH
10;2024-02-27T16:41:06;2024-02-28T06:33:19;SPANISH
