id;street_address;postal_code;city;state_province
1;because;lop concerning;Madrid;immediate step-aunt yowza
2;inasmuch;gosh;Sagunto;but pulse zowie
3;dead;per;Torrevieja;although unless
4;purchase;supposing sequestrate huzzah;Valladolid;before
5;corrupt torn;opposite courteous;Torremolinos;present
6;convertible by nor;likewise elevation torn;Hospitalet de LLobregat;vulgarise hence
7;that whose;above;Cádiz;supposing wherever threaten
8;loyally;uh-huh;Tarrasa;boiling
9;ugh;squeaky;Parla;yowza hyphenate
10;duff;gaffe eek;Torrevieja;uh-huh
